Latitude,Longitude,Elevation
50.34611660,6.966269100,568.0
50.34592150,6.966447800,568.0
50.34394740,6.961469700,586.0
50.34347530,6.960225100,588.0
50.34308910,6.959452600,588.0
50.34141540,6.957092300,582.0
50.34047130,6.955804800,590.0
50.33995630,6.955418600,596.0
50.33939840,6.954774900,603.0
50.33909800,6.954345700,605.0
50.33888340,6.953873600,605.0
50.33866880,6.953573200,608.0
50.33849720,6.953444500,608.0
50.33823970,6.953358700,608.0
50.33819680,6.953229900,608.0
50.33811090,6.952886600,611.0
50.33811090,6.952157000,611.0
50.33781050,6.951427500,616.0
50.33772470,6.951255800,616.0
50.33772470,6.951084100,618.0
50.33776760,6.950912500,618.0
50.33836840,6.949667900,624.0
50.33862590,6.949324600,623.0
50.33871170,6.949195900,623.0
50.33892630,6.948938400,625.0
50.33926960,6.948552100,625.0
50.33935550,6.948080100,625.0
50.33931260,6.947951300,625.0
50.33918380,6.947736700,625.0
50.33875470,6.947307600,625.0
50.33798220,6.946449300,614.0
50.33751010,6.945419300,606.0
50.33742430,6.944990200,599.0
50.33738140,6.944689800,599.0
50.33738140,6.944003100,595.0
50.33782970,6.942465900,587.0
50.33798220,6.941943200,588.0
50.33811090,6.940312400,589.0
50.33793930,6.938896200,588.0
50.33798220,6.938552900,582.0
50.33815380,6.938209500,582.0
50.33884050,6.937651600,584.0
50.33896920,6.937480000,584.0
50.33935550,6.936621700,582.0
50.33991340,6.936192500,577.0
50.34021380,6.933832200,581.0
50.34038540,6.933617600,581.0
50.34107210,6.933231400,582.0
50.34205910,6.931171400,572.0
50.34266000,6.930055600,561.0
50.34321780,6.928982700,558.0
50.34549240,6.926279100,577.0
50.34579280,6.926107400,582.0
50.34639360,6.926021600,583.0
50.34669400,6.926064500,583.0
50.34811020,6.926794100,584.0
50.34871100,6.927008600,584.0
50.34971210,6.927119900,581.0
50.34986970,6.927137400,581.0
50.35077100,6.927008600,582.0
50.35115720,6.926922800,582.0
50.35283090,6.926193200,562.0
50.35424710,6.925249100,560.0
50.35600660,6.923918700,559.0
50.35634990,6.923489600,552.0
50.35695080,6.922073400,540.0
50.35755160,6.920313800,536.0
50.35763740,6.920099300,536.0
50.35793780,6.920013400,531.0
50.35815240,6.920099300,531.0
50.35832410,6.920228000,531.0
50.35931110,6.923704100,513.0
50.35995480,6.924862900,500.0
50.36034110,6.925678300,502.0
50.36124230,6.927008600,485.0
50.36141400,6.927523600,472.0
50.36148840,6.927657600,472.0
50.36205770,6.928682300,470.0
50.36235810,6.929154400,464.0
50.36394600,6.930484800,466.0
50.36411760,6.930527700,466.0
50.36489010,6.930441900,473.0
50.36506180,6.930484800,473.0
50.36531930,6.930742300,473.0
50.36579130,6.931686400,474.0
50.36604880,6.931901000,474.0
50.36617760,6.931858100,474.0
50.36660670,6.931557700,477.0
50.36669250,6.931600600,477.0
50.36810870,6.933960900,468.0
50.37016870,6.936621700,463.0
50.37098410,6.937437100,463.0
50.37145610,6.937608700,459.0
50.37231450,6.937437100,457.0
50.37308690,6.937093700,462.0
50.37321570,6.936922100,466.0
50.37321570,6.936235400,465.0
50.37325860,6.935591700,465.0
50.37338730,6.935119600,457.0
50.37390230,6.934261300,450.0
50.37411690,6.934046700,450.0
50.37428860,6.934003800,450.0
50.37450310,6.934046700,450.0
50.37467480,6.934175500,435.0
